hex_id,Visits
8744c16b1ffffff,11
8744c16b2ffffff,16
8744c16b3ffffff,3
8744c16b4ffffff,2
8744c16b6ffffff,3
8744c16c0ffffff,8
8744c16c2ffffff,29
8744c16c3ffffff,1
8744c16c4ffffff,9
8744c16c5ffffff,9
8744c16c6ffffff,14
8744c16c9ffffff,10
8744c16cdffffff,1
8744c16d0ffffff,25
8744c16d1ffffff,17
8744c16d2ffffff,39
8744c16d3ffffff,37
8744c16d4ffffff,18
8744c16d5ffffff,25
8744c16d6ffffff,54
8744c16d8ffffff,9
8744c16daffffff,18
8744c16dbffffff,10
8744c16dcffffff,8
8744c16deffffff,25
8744c16e1ffffff,8
8744c16e3ffffff,21
8744c16e4ffffff,2
8744c16ebffffff,2
8744c16ecffffff,3
8744c16edffffff,2
8744c16eeffffff,11
8744c16f0ffffff,32
8744c16f1ffffff,28
8744c16f2ffffff,20
8744c16f3ffffff,48
8744c16f4ffffff,11
8744c16f5ffffff,9
8744c16f6ffffff,4
8744c1700ffffff,2
8744c170affffff,2
8744c1712ffffff,3
8744c1728ffffff,7
8744c172affffff,1
8744c1741ffffff,2
8744c1744ffffff,4
8744c1745ffffff,1
8744c174cffffff,1
8744c174dffffff,1
8744c1755ffffff,1
8744c1758ffffff,3
8744c1760ffffff,2
8744c1768ffffff,1
8744c176cffffff,1
8744c176dffffff,1
8744c1783ffffff,1
8744c1789ffffff,8
8744c178affffff,8
8744c178bffffff,2
8744c178effffff,1
8744c179affffff,6
8744c179bffffff,4
8744c17a0ffffff,1
8744c17b2ffffff,1
8744c306affffff,1
8744c306dffffff,2
8744c3074ffffff,3
8744c3099ffffff,1
8744c30c5ffffff,5
8744c3141ffffff,2
8744c3169ffffff,7
8744c3203ffffff,1
8744c3206ffffff,1
8744c3241ffffff,4
8744c3244ffffff,18
8744c3246ffffff,6
8744c3260ffffff,2
8744c3269ffffff,3
8744c329dffffff,6
8744c329effffff,1
8744c32cbffffff,1
8744c32cdffffff,1
8744c32e6ffffff,3
8744c32e8ffffff,1
8744c3304ffffff,2
8744c330dffffff,5
8744c3323ffffff,1
8744c3324ffffff,2
8744c3329ffffff,4
8744c332effffff,1
8744c3330ffffff,1
8744c3349ffffff,1
8744c3359ffffff,7
8744c335dffffff,2
8744c3360ffffff,2
8744c3363ffffff,3
8744c3364ffffff,7
8744c3365ffffff,8
8744c3366ffffff,1
8744c3369ffffff,3
8744c336bffffff,8
8744c3371ffffff,2
8744c3372ffffff,1
8744c3374ffffff,4
8744c3382ffffff,3
8744c3388ffffff,9
8744c3669ffffff,4
8744c374affffff,1
8744c3754ffffff,4
8744c3a01ffffff,2
8744c3a02ffffff,7
8744c3a04ffffff,2
8744c3a06ffffff,1
8744c3a08ffffff,2
8744c3a0affffff,1
8744c3a0bffffff,1
8744c3a0cffffff,2
8744c3a0dffffff,3
8744c3a14ffffff,3
8744c3a15ffffff,1
8744c3a16ffffff,2
8744c3a19ffffff,2
8744c3a1bffffff,6
8744c3a1cffffff,4
8744c3a1dffffff,3
8744c3a23ffffff,6
8744c3a28ffffff,5
8744c3a29ffffff,1
8744c3a2affffff,3
8744c3a2bffffff,9
8744c3a2dffffff,5
8744c3a32ffffff,2
8744c3a33ffffff,3
8744c3a40ffffff,14
8744c3a41ffffff,21
8744c3a42ffffff,39
8744c3a43ffffff,15
8744c3a44ffffff,8
8744c3a45ffffff,3
8744c3a46ffffff,17
8744c3a48ffffff,89
8744c3a49ffffff,207
8744c3a4affffff,9
8744c3a4bffffff,21
8744c3a4cffffff,35
8744c3a4dffffff,167
8744c3a4effffff,21
8744c3a50ffffff,1
8744c3a51ffffff,17
8744c3a52ffffff,4
8744c3a53ffffff,5
8744c3a55ffffff,2
8744c3a58ffffff,8
8744c3a59ffffff,80
8744c3a5affffff,48
8744c3a5bffffff,23
8744c3a5dffffff,7
8744c3a5effffff,7
8744c3a60ffffff,19
8744c3a61ffffff,11
8744c3a62ffffff,28
8744c3a63ffffff,3
8744c3a64ffffff,17
8744c3a65ffffff,2
8744c3a66ffffff,35
8744c3a68ffffff,111
8744c3a69ffffff,60
8744c3a6affffff,13
8744c3a6bffffff,103
8744c3a6cffffff,83
8744c3a6dffffff,24
8744c3a6effffff,44
