hex_id,value
8744c1b75ffffff,48
8744c3ad8ffffff,105
8744c10a5ffffff,1260
8744ce55effffff,216
8744c1310ffffff,5895
8744ce8c0ffffff,90
8744ce429ffffff,141
8744c104affffff,6370
8744ce501ffffff,6
8744ce552ffffff,141
8744c1b0bffffff,2380
8744c1783ffffff,384
8744c3029ffffff,61
8744c3060ffffff,51
8744c3070ffffff,53
8744c302cffffff,53
8744ceb90ffffff,74
8744c3acbffffff,277
8744c106effffff,6143
8744cec68ffffff,192
8744ce50bffffff,61
8744c3b99ffffff,69
8744ea4cbffffff,106
8744c3705ffffff,28
8744c114bffffff,5161
8744c3b9affffff,152
8744c100affffff,745
8744c3a96ffffff,54
8744c1aaeffffff,6464
8744c1aa1ffffff,4316
8744ce020ffffff,73
8744c3342ffffff,48
8744c3224ffffff,13
8744ce85bffffff,34
8744ce8e3ffffff,59
8744dd92bffffff,24
8744ceb05ffffff,17
8744ce50effffff,17
8744ceb12ffffff,11
8744ceba3ffffff,30
8744cec92ffffff,35
8744c3ba3ffffff,54
8744c14f4ffffff,102
8744c1414ffffff,27
8744c14cbffffff,92
8744c3666ffffff,70
8744c3addffffff,73
8744c1201ffffff,3419
8744c1635ffffff,2654
8744ced90ffffff,358
8744c1a04ffffff,1364
8744cec44ffffff,42
8744c1644ffffff,4496
8744c33b5ffffff,39
8744c160cffffff,853
8744c3acaffffff,161
8744c170affffff,1565
8744c1643ffffff,4158
8744c1a91ffffff,7596
8744c1a30ffffff,2686
8744c1aabffffff,9019
8744dd922ffffff,380
8744c3b9cffffff,123
8744c1a0effffff,2131
8744c3968ffffff,11
8744c3869ffffff,19
8744c1b1dffffff,4168
8744ce433ffffff,114
8744c1b99ffffff,602
8744c332cffffff,141
8744c374cffffff,24
8744c3660ffffff,48
8744c166effffff,2386
8744c3a2effffff,2976
8744c1053ffffff,2820
8744c3a10ffffff,2195
8744cec63ffffff,37
8744c1782ffffff,283
8744c1091ffffff,389
8744c3a08ffffff,1307
8744c115dffffff,4913
8744c1aadffffff,2028
8744dd931ffffff,310
8744c3a09ffffff,450
8744c3aa4ffffff,133
8744ea4dcffffff,103
8744c1641ffffff,2981
8744c1646ffffff,3370
8744ce110ffffff,393
8744c1b23ffffff,752
8744c179cffffff,564
8744c1153ffffff,194
8744c1af1ffffff,2677
8744c1325ffffff,11034
8744c3216ffffff,92
8744c32a5ffffff,69
8744c32adffffff,87
8744ce553ffffff,225
8744c1a95ffffff,6727
8744cecc9ffffff,198
8744c1a34ffffff,2408
8744c3ac3ffffff,188
8744c1645ffffff,3757
8744c166affffff,3719
8744c3729ffffff,95
8744cece1ffffff,179
8744c115affffff,2636
8744c1b60ffffff,174
8744c1205ffffff,5163
8744ce8c5ffffff,290
8744c3a95ffffff,58
8744cec5cffffff,61
8744ced41ffffff,453
8744c1728ffffff,2906
8744ce404ffffff,338
8744c1381ffffff,5953
8744c394bffffff,95
8744c3ae5ffffff,212
8744c315bffffff,102
8744ea4ccffffff,179
8744ce1b2ffffff,414
8744c3152ffffff,23
8744c104cffffff,13221
8744ceb30ffffff,57
8744ce415ffffff,187
8744ce8b2ffffff,680
8744c3a2affffff,5673
8744c1395ffffff,7549
8744c1003ffffff,2868
8744c3a14ffffff,3466
8744c1608ffffff,1703
8744ce475ffffff,397
8744c3accffffff,55
8744c30d0ffffff,103
8744c1a81ffffff,17053
8744c3063ffffff,65
8744c16ddffffff,642
8744c3306ffffff,180
8744ce409ffffff,31
8744c1482ffffff,36
8744c3a74ffffff,1577
8744ce51cffffff,203
8744c1659ffffff,2169
8744c3748ffffff,57
8744ced4cffffff,663
8744c3159ffffff,140
8744c3a0dffffff,3500
8744c1a26ffffff,3008
8744c1aa3ffffff,5686
8744ce51dffffff,421
8744c1780ffffff,862
8744c3b03ffffff,107
8744c13b3ffffff,3609
8744c3373ffffff,46
8744cec6dffffff,264
8744ce916ffffff,52
8744c30c1ffffff,26
8744c130dffffff,5722
8744c38c1ffffff,24
8744c1af2ffffff,2996
8744c3123ffffff,30
8744c3328ffffff,551
8744ce808ffffff,105
8744c102effffff,1993
8744c3329ffffff,329
8744cec69ffffff,469
8744ce948ffffff,46
8744ce470ffffff,138
8744ceb31ffffff,72
8744c1a35ffffff,1430
8744ce500ffffff,300
8744ce9aaffffff,89
8744c164effffff,3044
8744c38cdffffff,109
8744c1ae6ffffff,1573
8744dd923ffffff,363
8744ce50affffff,215
8744c1071ffffff,7420
8744ea7b6ffffff,22
8744ce503ffffff,188
8744ce8a1ffffff,966
8744c1a90ffffff,6395
8744c3042ffffff,39
8744c3071ffffff,56
8744c1751ffffff,6462
