hex_id,value
8744c128bffffff,26
8744c128cffffff,77
8744c128dffffff,54
8744c128effffff,63
8744c1290ffffff,60
8744c1291ffffff,116
8744c1292ffffff,85
8744c1293ffffff,78
8744c1294ffffff,36
8744c1295ffffff,134
8744c1296ffffff,33
8744c1298ffffff,94
8744c1299ffffff,34
8744c129affffff,89
8744c129bffffff,39
8744c129cffffff,68
8744c129dffffff,43
8744c129effffff,91
8744c12a0ffffff,233
8744c12a1ffffff,116
8744c12a2ffffff,106
8744c12a3ffffff,58
8744c12a4ffffff,102
8744c12a5ffffff,61
8744c12a6ffffff,85
8744c12a8ffffff,123
8744c12a9ffffff,100
8744c12aaffffff,41
8744c12abffffff,57
8744c12acffffff,115
8744c12adffffff,151
8744c12aeffffff,113
8744c12b0ffffff,51
8744c12b1ffffff,93
8744c12b2ffffff,15
8744c12b3ffffff,60
8744c12b4ffffff,52
8744c12b5ffffff,78
8744c12b6ffffff,63
8744c12c0ffffff,51
8744c12c1ffffff,53
8744c12c2ffffff,110
8744c12c3ffffff,52
8744c12c4ffffff,49
8744c12c5ffffff,60
8744c12c6ffffff,41
8744c12caffffff,38
8744c12ceffffff,46
8744c12d0ffffff,109
8744c12d1ffffff,47
8744c12d2ffffff,47
8744c12d3ffffff,39
8744c12d4ffffff,60
8744c12d5ffffff,104
8744c12d6ffffff,44
8744c12d8ffffff,50
8744c12d9ffffff,55
8744c12daffffff,55
8744c12dbffffff,31
8744c12dcffffff,62
8744c12ddffffff,88
8744c12deffffff,80
8744c12e0ffffff,35
8744c12e1ffffff,39
8744c12e2ffffff,98
8744c12e3ffffff,40
8744c12e4ffffff,28
8744c12e5ffffff,16
8744c12e6ffffff,170
8744c12e8ffffff,25
8744c12eaffffff,11
8744c12ecffffff,29
8744c12edffffff,29
8744c12eeffffff,39
8744c12f0ffffff,18
8744c12f1ffffff,38
8744c12f2ffffff,39
8744c12f3ffffff,17
8744c12f4ffffff,38
8744c12f5ffffff,73
8744c12f6ffffff,26
8744c1300ffffff,108
8744c1301ffffff,88
8744c1302ffffff,102
8744c1303ffffff,143
8744c1304ffffff,263
8744c1305ffffff,120
8744c1306ffffff,176
8744c1308ffffff,188
8744c1309ffffff,293
8744c130affffff,158
8744c130bffffff,145
8744c130cffffff,196
8744c130dffffff,199
8744c130effffff,93
8744c1310ffffff,46
8744c1311ffffff,79
8744c1312ffffff,155
8744c1313ffffff,79
8744c1314ffffff,99
8744c1315ffffff,107
8744c1316ffffff,86
8744c1318ffffff,127
8744c1319ffffff,87
8744c131affffff,79
8744c131bffffff,101
8744c131cffffff,122
8744c131dffffff,176
8744c131effffff,46
8744c1320ffffff,333
8744c1321ffffff,355
8744c1322ffffff,143
8744c1323ffffff,320
8744c1324ffffff,191
8744c1325ffffff,466
8744c1326ffffff,198
8744c1328ffffff,112
8744c1329ffffff,79
8744c132affffff,154
8744c132bffffff,133
8744c132cffffff,49
8744c132dffffff,49
8744c132effffff,204
8744c1330ffffff,110
8744c1331ffffff,99
8744c1332ffffff,112
8744c1333ffffff,91
8744c1334ffffff,206
8744c1335ffffff,135
8744c1336ffffff,127
8744c1350ffffff,40
8744c1352ffffff,52
8744c1353ffffff,61
